iteration,t,algo,divided,path_redundancy
0,900,MIRW,True,7.457044673539519
0,900,FFD,True,7.615120274914089
0,900,KMeans,True,4.332618025751073
0,950,none,False,7.8769346923367305
0,950,RND,True,6.517647058823529
0,950,MIRW,True,6.963265306122449
0,950,FFD,True,9.819672131147541
0,950,KMeans,True,3.760752688172043
0,1000,none,False,8.74821173104435
0,1000,RND,True,6.906716417910448
0,1000,MIRW,True,7.18503937007874
0,1000,FFD,True,11.236220472440944
0,1000,KMeans,True,4.424390243902439
0,1050,none,False,6.923913043478261
0,1050,RND,True,6.65015479876161
0,1050,MIRW,True,6.506410256410256
0,1050,FFD,True,6.71608832807571
0,1050,KMeans,True,3.649895178197065
0,1100,none,False,10.284287812041116
0,1100,RND,True,10.458204334365325
0,1100,MIRW,True,10.967948717948717
0,1100,FFD,True,12.037854889589905
0,1100,KMeans,True,4.761006289308176
0,1150,none,False,9.19443647834815
0,1150,RND,True,9.075757575757576
0,1150,MIRW,True,9.627760252365931
0,1150,FFD,True,10.3625
0,1150,KMeans,True,4.7101449275362315
0,1200,none,False,14.780331373597006
0,1200,RND,True,14.395543175487465
0,1200,MIRW,True,13.638235294117647
0,1200,FFD,True,15.973451327433628
0,1200,KMeans,True,7.12770137524558
0,1250,none,False,18.452434247341913
0,1250,RND,True,17.05
0,1250,MIRW,True,15.19076923076923
0,1250,FFD,True,15.963302752293577
0,1250,KMeans,True,7.93576017130621
0,1300,none,False,17.39919893190921
0,1300,RND,True,16.787114845938376
0,1300,MIRW,True,16.06140350877193
0,1300,FFD,True,19.05247813411079
0,1300,KMeans,True,8.29233870967742
0,1350,none,False,29.418517594210133
0,1350,RND,True,29.625
0,1350,MIRW,True,27.86027397260274
0,1350,FFD,True,24.361643835616437
0,1350,KMeans,True,7.36964980544747
0,1400,none,False,32.003743448964315
0,1400,RND,True,37.994791666666664
0,1400,MIRW,True,31.47945205479452
0,1400,FFD,True,34.35068493150685
0,1400,KMeans,True,6.98443579766537
0,1450,none,False,35.72492836676218
0,1450,RND,True,33.50872817955112
0,1450,MIRW,True,29.330708661417322
0,1450,FFD,True,33.361256544502616
0,1450,KMeans,True,7.919475655430712
0,1500,none,False,41.232476926914444
0,1500,RND,True,43.25984251968504
0,1500,MIRW,True,34.20661157024794
0,1500,FFD,True,38.15068493150685
