x,iter,t,algo,rmse_force,rmse_clustering,rmse_size,ref_force,ref_clustering,ref_size,flux_ref,flux_div
2,0,600,FFD,3.0147597302203804,0.022954148821963536,21.0,6.82,0.4832363682069565,50.0,341,2893
2,0,600,KMeans,1.5058552387264856,0.03720688261469739,0.0,6.82,0.4832363682069565,50.0,341,2452
2,0,700,RND,2.735082031041044,0.07510291392872998,3.0,5.76,0.43530494342259046,50.0,288,2461
2,0,700,MIRW,2.09093280618962,0.012863104935691587,0.0,5.76,0.43530494342259046,50.0,288,2452
2,0,700,FFD,1.7845569272320303,0.1230077977599033,9.0,5.76,0.43530494342259046,50.0,288,2533
2,0,700,KMeans,1.2,0.027524100153580203,0.0,5.76,0.43530494342259046,50.0,288,2452
2,0,800,RND,2.4202194772362935,0.08289787911943582,3.0,5.36,0.4420931290931291,50.0,268,2461
2,0,800,MIRW,2.1512786895239775,0.09812722971149992,0.0,5.36,0.4420931290931291,50.0,268,2452
2,0,800,FFD,2.110881858897419,0.08820361154183579,20.0,5.36,0.4420931290931291,50.0,268,2852
2,0,800,KMeans,1.2930134326542095,0.03077764881737486,1.0,5.36,0.4420931290931291,50.0,268,2453
2,0,900,RND,2.3395093683445647,0.03498695621746298,3.0,5.48,0.4282320392026274,50.0,274,2461
2,0,900,MIRW,2.2351733713517623,0.09478285467343181,0.0,5.48,0.4282320392026274,50.0,274,2452
2,0,900,FFD,2.6500879110283106,0.04361444840750768,35.0,5.48,0.4282320392026274,50.0,274,3677
2,0,900,KMeans,1.5458684968420022,0.09204944445002847,4.0,5.48,0.4282320392026274,50.0,274,2468
2,0,1000,RND,2.6850653242784084,0.05833160189418663,3.0,5.86,0.44649213205095556,50.0,293,2461
2,0,1000,MIRW,2.1865955272980875,0.028306427538757856,0.0,5.86,0.44649213205095556,50.0,293,2452
2,0,1000,FFD,1.4682092002252616,0.004697233587752672,21.0,5.86,0.44649213205095556,50.0,293,2893
2,0,1000,KMeans,1.8089504031523909,0.060461612208137595,5.0,5.86,0.44649213205095556,50.0,293,2477
2,0,1100,RND,3.2132610858746866,0.10830533243582997,3.0,6.4,0.4562165631925694,50.0,320,2461
2,0,1100,MIRW,2.7124896313165885,0.0972185502223584,0.0,6.4,0.4562165631925694,50.0,320,2452
2,0,1100,FFD,1.84979144636949,0.16709891670278432,40.0,6.4,0.4562165631925694,50.0,320,4052
2,0,1100,KMeans,1.9696264263811751,0.08194415392826725,1.0,6.4,0.4562165631925694,50.0,320,2453
2,0,1200,RND,3.633502288553948,0.05682633056820459,3.0,7.24,0.44004855498818335,50.0,362,2461
2,0,1200,MIRW,2.8285685425670706,0.018007042339323324,0.0,7.24,0.44004855498818335,50.0,362,2452
2,0,1200,FFD,2.925717385911056,0.09120595877999475,25.0,7.24,0.44004855498818335,50.0,362,3077
2,0,1200,KMeans,3.5198871050616374,0.14391160695199084,26.0,7.24,0.44004855498818335,50.0,362,3128
2,0,1300,RND,4.576054910254694,0.07024749461391448,3.0,8.84,0.49128788847741606,50.0,442,2461
2,0,1300,MIRW,4.110863656216295,0.03911691981698817,0.0,8.84,0.49128788847741606,50.0,442,2452
2,0,1300,FFD,4.0631814225216525,0.08199633836743228,21.0,8.84,0.49128788847741606,50.0,442,2893
2,0,1300,KMeans,2.303595023625704,0.03269024514915021,2.0,8.84,0.49128788847741606,50.0,442,2456
2,0,1400,RND,5.086649618939548,0.08824095192447366,3.0,9.78,0.5417975109872404,50.0,489,2461
2,0,1400,MIRW,4.891829923454003,0.050463596389365754,0.0,9.78,0.5417975109872404,50.0,489,2452
